Rank,Title,Views,Runtime,HoursViewed
1,Wednesday: Season 1,252100000,6:49,1718800000
2,Adolescence: Limited Series,142600000,3:50,546500000
3,Stranger Things 4,140700000,13:04,1838000000
4,DAHMER: Monster: The Jeffrey Dahmer Story,115600000,8:55,1031100000
5,Bridgerton: Season 1,113300000,8:12,929300000
6,The Queen's Gambit: Limited Series,112800000,6:37,746400000
7,Bridgerton: Season 3,106000000,7:59,846500000
8,The Night Agent: Season 1,98200000,8:11,803200000
9,Fool Me Once: Limited Series,98200000,6:25,629800000
10,Stranger Things 3,94800000,7:33,716100000
